Gene_ID,Gene_Name,Condition
ENSG00000254418,SPON1-AS1,Pre-Transplant
ENSG00000275373,MIR6124,Pre-Transplant
ENSG00000255079,LINC02704,Pre-Transplant
ENSG00000213779,RPL29P21,Pre-Transplant
ENSG00000135378,PRRG4,Pre-Transplant
ENSG00000183303,OR5P2,Pre-Transplant
ENSG00000187918,OR51I2,Pre-Transplant
ENSG00000123444,KBTBD4,Pre-Transplant
ENSG00000165915,SLC39A13,Pre-Transplant
ENSG00000245522,LINC02709,Pre-Transplant
ENSG00000255270,NAV2-IT1,Pre-Transplant
ENSG00000135373,EHF,Pre-Transplant
ENSG00000149084,HSD17B12,Pre-Transplant
ENSG00000176895,OR51A7,Pre-Transplant
ENSG00000166181,API5,Pre-Transplant
ENSG00000252652,Y_RNA,Pre-Transplant
ENSG00000176787,OR52E2,Pre-Transplant
ENSG00000205409,OR52E6,Pre-Transplant
ENSG00000110768,GTF2H1,Pre-Transplant
ENSG00000275208,MIR6745,Pre-Transplant
ENSG00000254453,NAV2-AS2,Pre-Transplant
ENSG00000148948,LRRC4C,Pre-Transplant
ENSG00000230261,OR52J2P,Pre-Transplant
ENSG00000254567,UBTFL9,Pre-Transplant
ENSG00000255047,HNRNPRP2,Pre-Transplant
ENSG00000176742,OR51V1,Pre-Transplant
ENSG00000200376,RNU5E-10P,Pre-Transplant
ENSG00000206808,Y_RNA,Pre-Transplant
ENSG00000129167,TPH1,Pre-Transplant
ENSG00000025434,NR1H3,Pre-Transplant
ENSG00000225003,OR51A5P,Pre-Transplant
ENSG00000181616,OR52H1,Pre-Transplant
ENSG00000257043,SRSF3P1,Pre-Transplant
ENSG00000181961,OR4A16,Pre-Transplant
ENSG00000110422,HIPK3,Pre-Transplant
ENSG00000170743,SYT9,Pre-Transplant
ENSG00000255004,SLC1A2-AS1,Pre-Transplant
ENSG00000165917,RAPSN,Pre-Transplant
ENSG00000129173,E2F8,Pre-Transplant
ENSG00000241943,RN7SL188P,Pre-Transplant
ENSG00000181001,OR52N1,Pre-Transplant
ENSG00000175868,CALCB,Pre-Transplant
ENSG00000201059,RNA5SP336,Pre-Transplant
ENSG00000165905,LARGE2,Pre-Transplant
ENSG00000011405,PIK3C2A,Pre-Transplant
ENSG00000110315,RNF141,Pre-Transplant
ENSG00000165923,AGBL2,Pre-Transplant
ENSG00000230593,PPIAP40,Pre-Transplant
ENSG00000255171,LINC01499,Pre-Transplant
ENSG00000254764,TRIM53CP,Pre-Transplant
ENSG00000242834,RPL7AP56,Pre-Transplant
ENSG00000255007,LINC02489,Pre-Transplant
ENSG00000255117,LINC02546,Pre-Transplant
ENSG00000171999,OR52P2P,Pre-Transplant
ENSG00000170683,OR10A3,Pre-Transplant
ENSG00000260595,OR4C49P,Pre-Transplant
ENSG00000255035,SDHCP4,Pre-Transplant
ENSG00000176900,OR51T1,Pre-Transplant
ENSG00000270903,HNRNPA3P9,Pre-Transplant
ENSG00000214891,TRIM64C,Pre-Transplant
ENSG00000121680,PEX16,Pre-Transplant
ENSG00000264309,MIR4694,Pre-Transplant
ENSG00000188124,OR2AG2,Pre-Transplant
ENSG00000254438,LINC02683,Pre-Transplant
ENSG00000283873,SSU72L4,Pre-Transplant
ENSG00000255293,WIZP1,Pre-Transplant
ENSG00000238622,SNORD97,Pre-Transplant
ENSG00000180934,OR56A1,Pre-Transplant
ENSG00000258659,TRIM34,Pre-Transplant
ENSG00000166394,CYB5R2,Pre-Transplant
ENSG00000149177,PTPRJ,Pre-Transplant
ENSG00000184014,DENND5A,Pre-Transplant
ENSG00000110321,EIF4G2,Pre-Transplant
ENSG00000236248,TMEM258P1,Pre-Transplant
ENSG00000254720,MRGPRX10P,Pre-Transplant
ENSG00000275868,MIR8054,Pre-Transplant
ENSG00000201867,Y_RNA,Pre-Transplant
ENSG00000201586,RNU6-593P,Pre-Transplant
ENSG00000277514,OR52Q1P,Pre-Transplant
ENSG00000265559,RN7SL652P,Pre-Transplant
ENSG00000254546,MRGPRX13P,Pre-Transplant
ENSG00000255418,LINC02718,Pre-Transplant
ENSG00000175264,CHST1,Pre-Transplant
ENSG00000255411,LINC02548,Pre-Transplant
ENSG00000110429,FBXO3,Pre-Transplant
ENSG00000196778,OR52K1,Pre-Transplant
ENSG00000205035,GRM5P1,Pre-Transplant
ENSG00000066336,SPI1,Pre-Transplant
ENSG00000148950,IMMP1L,Pre-Transplant
ENSG00000255215,OR4R1P,Pre-Transplant
ENSG00000262980,OR52L2P,Pre-Transplant
ENSG00000241008,RPL7AP55,Pre-Transplant
ENSG00000254554,ADM-DT,Pre-Transplant
ENSG00000134575,ACP2,Pre-Transplant
ENSG00000133789,SWAP70,Pre-Transplant
ENSG00000175356,SCUBE2,Pre-Transplant
ENSG00000176102,CSTF3,Pre-Transplant
ENSG00000110169,HPX,Pre-Transplant
ENSG00000171987,C11orf40,Pre-Transplant
ENSG00000110455,ACCS,Pre-Transplant
ENSG00000254930,LINC02545,Pre-Transplant
ENSG00000188691,OR56A5,Pre-Transplant
ENSG00000273051,OR51F4P,Pre-Transplant
ENSG00000110514,MADD,Pre-Transplant
ENSG00000180919,OR56B4,Pre-Transplant
ENSG00000254894,NAV2-AS1,Pre-Transplant
ENSG00000265014,MIR3160-1,Pre-Transplant
ENSG00000266645,MIR4299,Pre-Transplant
ENSG00000255199,GTF2IP11,Pre-Transplant
ENSG00000254663,OR4A11P,Pre-Transplant
ENSG00000233646,OR52T1P,Pre-Transplant
ENSG00000175485,OR52W1,Pre-Transplant
ENSG00000179119,SPTY2D1,Pre-Transplant
ENSG00000227547,OR4A2P,Pre-Transplant
ENSG00000264102,MIR4688,Pre-Transplant
ENSG00000212365,RNA5SP332,Pre-Transplant
ENSG00000166471,TMEM41B,Pre-Transplant
ENSG00000072952,IRAG1,Pre-Transplant
ENSG00000254562,LINC01493,Pre-Transplant
ENSG00000177054,ZDHHC13,Pre-Transplant
ENSG00000197984,OR51A8P,Pre-Transplant
ENSG00000254486,LINC02547,Pre-Transplant
ENSG00000247595,MISFA,Pre-Transplant
ENSG00000177105,RHOG,Pre-Transplant
ENSG00000263540,MIR5582,Pre-Transplant
ENSG00000205106,LINC02716,Pre-Transplant
ENSG00000019505,SYT13,Pre-Transplant
ENSG00000148943,LIN7C,Pre-Transplant
ENSG00000019485,PRDM11,Pre-Transplant
ENSG00000166787,SAA3P,Pre-Transplant
ENSG00000284546,SSU72L3,Pre-Transplant
ENSG00000152270,PDE3B,Pre-Transplant
ENSG00000252519,RNU6-783P,Pre-Transplant
ENSG00000188487,INSC,Pre-Transplant
ENSG00000175352,NRIP3,Pre-Transplant
ENSG00000253179,CALCP,Pre-Transplant
ENSG00000229988,HBBP1,Pre-Transplant
ENSG00000110700,RPS13,Pre-Transplant
ENSG00000232381,OR52U1P,Pre-Transplant
ENSG00000176925,OR51F2,Pre-Transplant
ENSG00000254516,LINC02760,Pre-Transplant
ENSG00000242353,RPL12P30,Pre-Transplant
ENSG00000251364,SYT9-AS1,Pre-Transplant
ENSG00000252816,RNA5SP337,Pre-Transplant
ENSG00000129151,BBOX1,Pre-Transplant
ENSG00000254427,LINC02696,Pre-Transplant
